alt_id,rate2,rate3,cost,emission,risk,foster,risk1,risk2,risk3
13_19,13,19,9.82E+07,5.40E+06,8.09E+05,215799052.2,1474461.66,13700797.94,50888383.75
13_20,13,20,9.82E+07,5.40E+06,8.06E+05,183743672.5,1511668.078,13991320.16,51127721.69
13_21,13,21,9.82E+07,5.40E+06,8.11E+05,-39931249.66,2602945.818,9946647.681,31662127.57
13_22,13,22,9.59E+07,1.29E+06,2.33E+06,-38100078.04,2691378.685,9190610.958,29801224.7
13_23,13,23,9.32E+07,9.22E+05,2.01E+06,-20856065.66,2112664.992,4106429.711,9410378.509
13_24,13,24,9.04E+07,8.53E+05,1.83E+06,-15924698.25,1901563.504,3260900.462,7103905.884
13_25,13,25,8.79E+07,8.53E+05,1.49E+06,-14595410.54,1514451.894,3009356.941,6744840.747
14_15,14,15,9.66E+07,5.40E+06,6.76E+05,411941375,1366332.224,13621828.72,51956914.31
14_16,14,16,9.66E+07,5.40E+06,6.83E+05,350402637.2,1302643.405,13320472.72,51093199.28
14_17,14,17,9.66E+07,5.40E+06,6.80E+05,298059135.7,1326618.645,13737956.5,52005315.81
14_18,14,18,9.66E+07,5.40E+06,6.91E+05,253574663.2,1284884.812,12923719.8,53611489.09
14_19,14,19,9.66E+07,5.40E+06,6.74E+05,215799052.2,1362826.43,13597353.65,52303627.59
14_20,14,20,9.66E+07,5.40E+06,6.87E+05,183743672.5,1284363.884,14049100.59,52642701.99
14_21,14,21,9.66E+07,5.40E+06,6.84E+05,-37107192.66,2148342.081,11631204.24,40931284.92
14_22,14,22,9.49E+07,1.30E+06,2.24E+06,-41008896.18,2580664.54,9781261.692,29776971.63
14_23,14,23,9.26E+07,1.03E+06,2.17E+06,-32358746.38,2396167.174,7765743.455,23846043.84
14_24,14,24,9.01E+07,8.57E+05,1.80E+06,-17754328.2,1817544.959,3338286.035,7607921.641
14_25,14,25,8.76E+07,8.53E+05,1.47E+06,-15156414.89,1500843.355,3095255.366,7062145.194
15_15,15,15,9.54E+07,5.40E+06,5.87E+05,411941375,1143248.388,12816111.54,52253389.31
15_16,15,16,9.54E+07,5.40E+06,5.80E+05,350402637.2,1144835.86,12344663.75,54987164.43
15_17,15,17,9.54E+07,5.40E+06,5.81E+05,298059135.7,1128551.491,12843450.27,51639964.91
15_18,15,18,9.54E+07,5.40E+06,5.86E+05,253574663.2,1122277.019,13102483.37,52698425.5
15_19,15,19,9.54E+07,5.40E+06,5.87E+05,215799052.2,1154247.972,13013244.01,53841047.82
15_20,15,20,9.54E+07,5.40E+06,5.81E+05,183743672.5,1181313.019,12811655.71,53610992.16
15_21,15,21,9.54E+07,5.40E+06,5.89E+05,-39657458.21,2052949.722,11470657.31,41574960.73
15_22,15,22,9.41E+07,1.30E+06,2.22E+06,-43136854.69,2493420.884,9615981.396,30329824.6
15_23,15,23,9.19E+07,1.04E+06,2.18E+06,-36483654.87,2453250.697,8105839.046,25761945.27
15_24,15,24,8.97E+07,1.03E+06,1.77E+06,-29808421.25,1933972.49,7085476.502,23237360.9
15_25,15,25,8.73E+07,8.54E+05,1.45E+06,-15779493.02,1473089.01,2983500.332,7082248.397
